iter	Accuracy	Logloss
0	0.724725944	0.6727348227
1	0.728650697	0.6565228898
2	0.7291920422	0.6422366114
3	0.7306807416	0.629051806
4	0.7306807416	0.6179515126
5	0.7316280958	0.6066582691
6	0.7301393964	0.5987159428
7	0.7313574232	0.5893068446
8	0.7328461226	0.5807654055
9	0.7402896197	0.5721648244
10	0.7421843281	0.5640557089
11	0.7450263906	0.5572925029
12	0.7477331168	0.5511805823
13	0.7485451347	0.5457213867
14	0.7500338341	0.5406643179
15	0.7488158073	0.5362917065
16	0.7488158073	0.5323203553
17	0.7496278251	0.5288834212
18	0.7513871972	0.5245112589
19	0.7538232508	0.5217427928
20	0.7532819055	0.5189393955
21	0.754364596	0.5159384303
22	0.7546352686	0.5131975879
23	0.7553119502	0.5104007194
24	0.7553119502	0.5087401371
25	0.756529977	0.5068700296
26	0.7578833401	0.5052358259
27	0.7592367032	0.5024065905
28	0.7596427121	0.5005303331
29	0.7607254026	0.4987671936
30	0.7607254026	0.4966477146
31	0.7624847747	0.4955327182
32	0.762620111	0.493766952
33	0.7655975098	0.4922459082
34	0.7669508729	0.4911428411
35	0.7678982271	0.4900268629
36	0.768304236	0.4888626512
37	0.7681688997	0.4874777679
38	0.7688455813	0.486328589
39	0.7695222628	0.4851874384
40	0.7695222628	0.4843601349
41	0.7691162539	0.4836978248
42	0.7689809176	0.4829673397
43	0.7700636081	0.4823409803
44	0.7697929354	0.4818098798
45	0.7711462986	0.4808482428
46	0.7711462986	0.4800375669
47	0.7712816349	0.4789671616
48	0.7716876438	0.4781899655
49	0.7724996617	0.4776037028
50	0.7727703343	0.4765673026
51	0.772634998	0.4757223636
52	0.7730410069	0.4752374883
53	0.7729056706	0.4748831826
54	0.7729056706	0.4744067607
55	0.7730410069	0.4738143024
56	0.7734470158	0.4735293669
57	0.7733116795	0.4730350017
58	0.7735823521	0.4724288971
59	0.7737176885	0.472109814
60	0.7742590337	0.4716724141
61	0.7745297063	0.4713844814
62	0.7745297063	0.4711855505
63	0.77439437	0.4706900955
64	0.7746650426	0.4700844525
65	0.7748003789	0.4697984192
66	0.7750710516	0.4693539592
67	0.7754770605	0.4690162723
68	0.7753417242	0.4685573699
69	0.7750710516	0.4680139818
70	0.7750710516	0.467946613
71	0.7752063879	0.4676784198
72	0.7754770605	0.4675075215
73	0.7752063879	0.4674458164
74	0.7750710516	0.4671644841
75	0.7752063879	0.4670092546
76	0.7753417242	0.4667900255
77	0.7756123968	0.4663083933
78	0.7758830694	0.4661271764
79	0.7766950873	0.4656907588
80	0.7771010962	0.4654036964
81	0.7768304236	0.4650141539
82	0.7766950873	0.4647603702
83	0.7772364325	0.4644266995
84	0.7780484504	0.4640330198
85	0.7784544593	0.4637145448
86	0.7788604683	0.4633091246
87	0.7788604683	0.4630244049
88	0.7796724861	0.4628120571
89	0.7799431587	0.4625294565
90	0.7802138314	0.4622066194
91	0.7800784951	0.4619056247
92	0.7800784951	0.461712448
93	0.7803491677	0.4615367408
94	0.7802138314	0.4614948667
95	0.7802138314	0.4612986425
96	0.7810258492	0.4610557705
97	0.7806198403	0.4607610023
98	0.7811611855	0.4604765511
99	0.7815671945	0.4601752974
100	0.7815671945	0.4599823045
101	0.7819732034	0.4596975349
102	0.782243876	0.459514117
103	0.7821085397	0.459306808
104	0.782649885	0.4592165555
105	0.7823792123	0.4590919218
106	0.7825145487	0.4587597109
107	0.782649885	0.4585536895
108	0.7827852213	0.4583123842
109	0.7834619028	0.4581218255
110	0.7837325754	0.4579154702
111	0.7835972391	0.457728011
112	0.7834619028	0.4575188752
113	0.7838679118	0.4573535999
114	0.7845445933	0.4569793863
115	0.7842739207	0.4569359406
116	0.7848152659	0.4566410296
117	0.7852212749	0.4564176043
118	0.7852212749	0.456229174
119	0.7854919475	0.4561197331
120	0.7854919475	0.456102776
121	0.7857626201	0.4559226111
122	0.7860332927	0.4558194091
123	0.7860332927	0.455819406
124	0.7854919475	0.4556102762
125	0.7856272838	0.4553165436
126	0.7852212749	0.4551726217
127	0.7856272838	0.4550856827
128	0.7856272838	0.4548904916
129	0.7863039654	0.4548199704
130	0.786168629	0.4547424236
131	0.7860332927	0.4545826572
132	0.786574638	0.4542730485
133	0.786168629	0.4539414363
134	0.7863039654	0.4538359326
135	0.786574638	0.4536504178
136	0.786574638	0.4536034719
137	0.786574638	0.4534913401
138	0.7867099743	0.4534487733
139	0.7868453106	0.4532820095
140	0.7873866558	0.453010986
141	0.7872513195	0.4530007409
142	0.7877926648	0.4529663536
143	0.7872513195	0.4527892835
144	0.7873866558	0.4524920445
145	0.7877926648	0.4523718004
146	0.7881986737	0.4521524756
147	0.7884693463	0.4519335146
148	0.7881986737	0.4517500166
149	0.78833401	0.4516482122
150	0.78833401	0.4516475065
151	0.7881986737	0.4513612242
152	0.7879280011	0.4511713666
153	0.7877926648	0.4510413921
154	0.7880633374	0.450810722
155	0.7877926648	0.4506786113
156	0.7880633374	0.4505812833
157	0.7888753553	0.4504137866
158	0.7891460279	0.4501953858
159	0.7890106916	0.4500296052
160	0.7887400189	0.4499186353
161	0.78833401	0.4496865686
162	0.7887400189	0.4494518341
163	0.7887400189	0.4493193241
164	0.7890106916	0.4490614719
165	0.7891460279	0.4489400237
166	0.7894167005	0.4487135212
167	0.7896873731	0.448544878
168	0.7892813642	0.4482567074
169	0.7898227094	0.4480173632
170	0.7895520368	0.4479625311
171	0.7900933821	0.4476167651
172	0.7900933821	0.4474838867
173	0.7903640547	0.4473221128
174	0.790499391	0.447123495
175	0.790499391	0.4469398506
176	0.7910407362	0.4468376916
177	0.7910407362	0.4468140238
178	0.7909053999	0.4467806815
179	0.7907700636	0.4466983933
180	0.7906347273	0.4465645341
181	0.7911760725	0.4464015417
182	0.7911760725	0.4462949044
183	0.7913114089	0.4461788876
184	0.7911760725	0.4460630423
185	0.7909053999	0.4458879513
186	0.7911760725	0.4456850282
187	0.7911760725	0.4456672117
188	0.7910407362	0.4455321792
189	0.7911760725	0.4454640973
190	0.7911760725	0.4454144154
191	0.7915820815	0.4451908959
192	0.7911760725	0.4449911599
193	0.7918527541	0.4448197353
194	0.7917174178	0.4447296531
195	0.7919880904	0.4446600127
196	0.7923940993	0.4445513676
197	0.792258763	0.4444408575
198	0.792258763	0.4444146698
199	0.7930707809	0.4441232159
200	0.7930707809	0.4440931561
201	0.7932061172	0.4440268619
202	0.7929354446	0.4437769724
203	0.7929354446	0.4437527493
204	0.7930707809	0.4435858935
205	0.7929354446	0.4432950161
206	0.7932061172	0.4431251379
207	0.7932061172	0.4430767558
208	0.7930707809	0.4428686073
209	0.7930707809	0.4428238373
210	0.7933414535	0.4427289018
211	0.7928001083	0.442603149
212	0.7934767898	0.4422415349
213	0.7934767898	0.4420639855
214	0.7940181351	0.4418481631
215	0.794424144	0.4416462428
216	0.7946948166	0.4414601169
217	0.7945594803	0.4413052192
218	0.7945594803	0.4411979603
219	0.7951008256	0.4410173923
220	0.7951008256	0.4409769521
221	0.7955068345	0.4407704401
222	0.7955068345	0.4407446039
223	0.7955068345	0.4404635445
224	0.7955068345	0.4403171596
225	0.7955068345	0.4402229497
226	0.7952361619	0.4401506081
227	0.7953714982	0.4401045549
228	0.7953714982	0.4399137701
229	0.7953714982	0.4398528233
230	0.7953714982	0.4396263571
231	0.7955068345	0.43949063
232	0.7955068345	0.4394852887
233	0.7956421708	0.4393381918
234	0.7960481797	0.4391653269
235	0.7960481797	0.4390614678
236	0.7960481797	0.4389826599
237	0.7960481797	0.4388805859
238	0.796183516	0.4387420834
239	0.796589525	0.4386980008
240	0.7967248613	0.4385157599
241	0.7968601976	0.4384351459
242	0.796589525	0.4384043844
243	0.7968601976	0.4382266918
244	0.7969955339	0.4379325812
245	0.7964541887	0.4378161075
246	0.796589525	0.4376385352
247	0.7964541887	0.4375168727
248	0.7976722155	0.4372193556
249	0.7975368791	0.4371928619
250	0.7971308702	0.4371192227
251	0.7979428881	0.4368967177
252	0.7978075518	0.4366963941
253	0.7984842333	0.436557077
254	0.7987549059	0.4364646998
255	0.7987549059	0.4364516638
256	0.7986195696	0.4363825637
257	0.7987549059	0.4362695384
258	0.7990255786	0.4362116938
259	0.7987549059	0.4362029066
260	0.7984842333	0.436114385
261	0.7986195696	0.4359095183
262	0.7987549059	0.4357267853
263	0.7987549059	0.4356918134
264	0.7988902423	0.435640259
265	0.7987549059	0.4355349578
266	0.7987549059	0.4353104702
267	0.7988902423	0.4352630616
268	0.7991609149	0.4351766271
269	0.7992962512	0.4350665628
270	0.7994315875	0.434807684
271	0.7992962512	0.4347427416
272	0.7995669238	0.4345534204
273	0.7994315875	0.4344336707
274	0.7998375964	0.4343274128
275	0.7997022601	0.4342737854
276	0.800108269	0.4341732467
277	0.7999729327	0.4340507502
278	0.8003789417	0.433957125
279	0.800514278	0.4338365299
280	0.8010556232	0.4336725302
281	0.8013262958	0.4334945433
282	0.8013262958	0.4334723765
283	0.8015969685	0.4332555638
284	0.8014616322	0.4331011808
285	0.8014616322	0.4328518174
286	0.8028149953	0.4327145285
287	0.8030856679	0.4325577043
288	0.8034916768	0.4324058406
289	0.8036270131	0.4323590786
290	0.8037623494	0.4323115031
291	0.8037623494	0.4320378064
292	0.8037623494	0.4319300636
293	0.8038976857	0.4317412925
294	0.8036270131	0.4316106116
295	0.8028149953	0.4314032521
296	0.8032210042	0.4313188726
297	0.8032210042	0.4311276374
298	0.8030856679	0.4310717674
299	0.8028149953	0.4310290592
300	0.8028149953	0.430789731
301	0.8025443226	0.4306675196
302	0.802679659	0.4304556559
303	0.8028149953	0.4304332421
304	0.8025443226	0.4303423799
305	0.8025443226	0.4301803932
306	0.8024089863	0.4300039076
307	0.8020029774	0.4298302387
308	0.8021383137	0.4297573684
309	0.8021383137	0.4296775653
310	0.8018676411	0.4296257204
311	0.8020029774	0.4294989474
312	0.8024089863	0.4293823065
313	0.8021383137	0.4292501029
314	0.8021383137	0.4292244661
315	0.8029503316	0.4291358315
316	0.802679659	0.4290563053
317	0.8029503316	0.4289603142
318	0.8032210042	0.4288681354
319	0.8033563405	0.4287555591
320	0.8033563405	0.4286304825
321	0.8033563405	0.4283613286
322	0.8034916768	0.4283208064
323	0.8034916768	0.4282746438
324	0.8033563405	0.4282313454
325	0.8029503316	0.4281520143
326	0.8033563405	0.4280449758
327	0.8034916768	0.4278931796
328	0.8037623494	0.4278377368
329	0.8038976857	0.4277722509
330	0.8032210042	0.4275994361
331	0.8034916768	0.4275062547
332	0.8032210042	0.427413169
333	0.8033563405	0.4273658864
334	0.804439031	0.4271475671
335	0.8041683584	0.4268477974
336	0.8038976857	0.426806483
337	0.8041683584	0.4264682381
338	0.804439031	0.4262743141
339	0.8043036947	0.4260309421
340	0.8043036947	0.4258958473
341	0.804439031	0.4256467911
342	0.8043036947	0.42554758
343	0.8043036947	0.4255142751
344	0.804439031	0.4252571966
345	0.8049803762	0.4251498281
346	0.8049803762	0.4250964868
347	0.8048450399	0.4250118163
348	0.8047097036	0.4249510689
349	0.8048450399	0.424880191
350	0.8049803762	0.4248377196
351	0.8051157125	0.4245877961
352	0.8056570578	0.4244466152
353	0.8053863852	0.4242891594
354	0.8055217215	0.4242656688
355	0.8053863852	0.4241326935
356	0.8052510489	0.4240468106
357	0.8057923941	0.4239744422
358	0.8057923941	0.423870609
359	0.8057923941	0.4238196379
360	0.8060630667	0.4237611237
361	0.8060630667	0.4236477809
362	0.8063337393	0.4235030505
363	0.806604412	0.4233014794
364	0.8064690757	0.4232580535
365	0.8064690757	0.4232431919
366	0.8067397483	0.4231298117
367	0.806604412	0.4230327382
368	0.806604412	0.4230104049
369	0.8075517661	0.4227582286
370	0.8076871024	0.4225357335
371	0.8079577751	0.4223722083
372	0.8079577751	0.4222964724
373	0.8082284477	0.4222546886
374	0.8080931114	0.4222400803
375	0.8078224388	0.4221252631
376	0.808363784	0.4219282021
377	0.808363784	0.4218652907
378	0.808363784	0.4216786517
379	0.808363784	0.421620284
380	0.8082284477	0.4214215685
381	0.8082284477	0.4213605849
382	0.8082284477	0.4212700088
383	0.8079577751	0.4211793482
384	0.8082284477	0.4210856413
385	0.8078224388	0.420997689
386	0.8086344566	0.4208273985
387	0.8086344566	0.4207499597
388	0.8087697929	0.4207206683
389	0.8090404656	0.4205787588
390	0.8093111382	0.4203917869
391	0.8093111382	0.4202216544
392	0.8095818108	0.4201923996
393	0.8095818108	0.420127075
394	0.8095818108	0.4199160761
395	0.8095818108	0.4198321888
396	0.8091758019	0.4197902238
397	0.8091758019	0.419588353
398	0.8086344566	0.419453764
399	0.8090404656	0.4193983936
400	0.8093111382	0.4193588238
401	0.8093111382	0.4193418085
402	0.8093111382	0.4191298583
403	0.8091758019	0.4189886979
404	0.8093111382	0.4189364196
405	0.8093111382	0.4189250683
406	0.8090404656	0.4188650304
407	0.8095818108	0.4187515578
408	0.8095818108	0.4185822171
409	0.8093111382	0.4185020113
410	0.8095818108	0.4184058524
411	0.8097171471	0.4182913362
412	0.810123156	0.4181830335
413	0.810123156	0.4180522645
414	0.810123156	0.4178439614
415	0.810123156	0.417694424
416	0.8098524834	0.4174996227
417	0.8099878197	0.4172211401
418	0.810123156	0.4170649049
419	0.8099878197	0.4169266085
420	0.8097171471	0.4169044033
421	0.8095818108	0.4167162171
422	0.8098524834	0.4165021413
423	0.8099878197	0.4163880399
424	0.810123156	0.4163626572
425	0.810123156	0.4162669478
426	0.8103938287	0.4161873345
427	0.8107998376	0.4160893027
428	0.810529165	0.4159257581
429	0.810529165	0.4158761377
430	0.810529165	0.4158603719
431	0.810529165	0.4157600615
432	0.8106645013	0.4157162196
433	0.8110705102	0.4155777852
434	0.8107998376	0.4154733048
435	0.8107998376	0.4154105465
436	0.8107998376	0.4152466347
437	0.8107998376	0.415126953
