iter	Passed	Remaining
0	51	51549
1	81	40877
2	120	39982
3	139	34688
4	148	29568
5	159	26505
6	172	24409
7	190	23669
8	221	24340
9	238	23655
10	262	23642
11	275	22673
12	296	22492
13	313	22089
14	327	21474
15	341	20973
16	358	20753
17	375	20460
18	398	20596
19	420	20602
20	439	20503
21	455	20242
22	474	20165
23	483	19653
24	497	19389
25	514	19276
26	535	19301
27	555	19291
28	571	19132
29	581	18805
30	592	18535
31	605	18305
32	621	18198
33	638	18147
34	661	18247
35	688	18445
36	706	18401
37	724	18330
38	737	18169
39	756	18152
40	774	18121
41	791	18052
42	812	18092
43	840	18263
44	858	18229
45	879	18249
46	893	18111
47	902	17897
48	918	17826
49	934	17756
50	952	17717
51	988	18025
52	1031	18430
53	1101	19305
54	1146	19698
55	1201	20259
56	1220	20189
57	1234	20044
58	1256	20046
59	1275	19985
60	1304	20080
61	1320	19976
62	1334	19842
63	1351	19771
64	1366	19659
65	1384	19585
66	1396	19450
67	1410	19335
68	1420	19171
69	1443	19178
70	1470	19236
71	1498	19319
72	1512	19202
73	1521	19039
74	1537	18956
75	1552	18871
76	1568	18799
77	1588	18774
78	1608	18752
79	1626	18708
80	1642	18633
81	1658	18569
82	1677	18532
83	1698	18524
84	1723	18549
85	1740	18499
86	1754	18411
87	1768	18328
88	1783	18253
89	1799	18193
90	1817	18154
91	1828	18050
92	1849	18037
93	1872	18047
94	1884	17949
95	1912	18013
96	1950	18156
97	2016	18557
98	2085	18981
99	2128	19155
100	2153	19166
101	2179	19189
102	2196	19127
103	2215	19089
104	2233	19039
105	2247	18956
106	2264	18900
107	2282	18852
108	2299	18794
109	2319	18767
110	2355	18866
111	2371	18801
112	2408	18903
113	2469	19189
114	2535	19510
115	2564	19542
116	2588	19537
117	2613	19537
118	2630	19477
119	2648	19425
120	2655	19290
121	2675	19251
122	2694	19208
123	2699	19073
124	2715	19009
125	2728	18924
126	2762	18989
127	2777	18922
128	2819	19040
129	2864	19169
130	2913	19329
131	2960	19470
132	3006	19598
133	3035	19616
134	3063	19628
135	3078	19559
136	3096	19505
137	3117	19476
138	3138	19438
139	3153	19370
140	3165	19281
141	3171	19160
142	3178	19049
143	3193	18984
144	3211	18937
145	3232	18907
146	3258	18907
147	3285	18916
148	3302	18859
149	3317	18800
150	3325	18697
151	3342	18647
152	3355	18573
153	3371	18521
154	3394	18507
155	3412	18463
156	3437	18456
157	3463	18458
158	3499	18509
159	3545	18611
160	3576	18638
161	3591	18580
162	3607	18524
163	3630	18505
164	3675	18601
165	3755	18869
166	3777	18843
167	3796	18801
168	3815	18759
169	3836	18730
170	3855	18690
171	3881	18687
172	3917	18727
173	3936	18687
174	3966	18699
175	4037	18902
176	4109	19105
177	4158	19202
178	4183	19188
179	4214	19199
180	4238	19177
181	4260	19148
182	4278	19101
183	4297	19056
184	4316	19014
185	4334	18970
186	4351	18919
187	4371	18882
188	4419	18965
189	4453	18985
190	4475	18956
191	4497	18927
192	4515	18881
193	4537	18849
194	4558	18816
195	4590	18830
196	4620	18834
197	4639	18791
198	4660	18758
199	4677	18710
200	4697	18672
201	4720	18648
202	4787	18796
203	4858	18956
204	4919	19079
205	4949	19075
206	4970	19042
207	5002	19048
208	5018	18993
209	5038	18953
210	5059	18919
211	5116	19016
