iter	Passed	Remaining
0	3	3389
1	6	3336
2	9	3074
3	11	2930
4	15	3009
5	17	2923
6	20	2874
7	23	2880
8	25	2806
9	27	2762
10	30	2780
11	33	2753
12	35	2723
13	38	2701
14	40	2676
15	43	2660
16	46	2683
17	48	2664
18	51	2665
19	54	2657
20	56	2647
21	58	2593
22	60	2573
23	63	2569
24	65	2564
25	67	2542
26	70	2541
27	72	2524
28	75	2511
29	78	2547
30	81	2545
31	85	2580
32	88	2585
33	91	2599
34	93	2573
35	96	2571
36	98	2566
37	101	2576
38	106	2616
39	111	2665
40	116	2734
41	120	2759
42	123	2754
43	128	2786
44	132	2814
45	139	2889
46	145	2940
47	149	2970
48	155	3026
49	160	3047
50	167	3115
51	170	3116
52	175	3144
53	180	3165
54	184	3176
55	189	3186
56	192	3177
57	195	3169
58	197	3155
59	200	3138
60	203	3126
61	206	3120
62	208	3108
63	211	3091
64	213	3076
65	215	3055
66	217	3035
67	220	3016
68	222	3004
69	225	2989
70	227	2977
71	229	2964
72	232	2952
73	236	2955
74	238	2942
75	241	2932
76	244	2925
77	246	2914
78	248	2898
79	251	2888
80	253	2875
81	255	2861
82	258	2851
83	260	2838
84	263	2835
85	268	2857
86	285	2996
87	290	3007
88	296	3030
89	303	3065
90	306	3063
91	319	3148
92	322	3147
93	326	3142
94	329	3137
95	332	3131
96	336	3130
97	339	3124
98	342	3113
99	346	3116
100	350	3117
101	353	3109
102	357	3109
103	361	3114
104	364	3109
105	369	3115
106	372	3112
107	375	3103
108	378	3092
109	380	3082
110	383	3072
111	387	3072
112	390	3064
113	393	3057
114	396	3051
115	399	3045
116	402	3037
117	405	3027
118	407	3019
119	410	3012
120	413	3005
121	415	2991
122	418	2982
123	420	2973
124	423	2962
125	425	2949
126	427	2941
127	430	2932
128	433	2924
129	435	2912
130	437	2904
131	440	2895
132	442	2886
133	445	2878
134	447	2868
135	450	2863
136	453	2856
137	456	2848
138	458	2837
139	461	2833
140	463	2823
141	465	2815
142	467	2804
143	471	2801
144	474	2800
145	478	2800
146	482	2800
147	485	2795
148	488	2789
149	493	2794
150	496	2790
151	498	2782
152	501	2777
153	504	2771
154	506	2762
155	509	2758
156	512	2753
157	515	2746
158	518	2740
159	521	2735
160	524	2730
161	527	2727
162	530	2722
163	532	2713
164	534	2707
165	537	2700
166	540	2696
167	546	2706
168	554	2728
169	564	2757
170	575	2789
171	583	2807
172	587	2810
173	592	2811
174	597	2819
175	605	2836
176	609	2834
177	612	2828
178	616	2827
179	619	2823
180	623	2819
181	626	2817
182	629	2809
183	632	2805
184	636	2802
185	638	2793
186	641	2789
187	644	2783
188	647	2777
189	650	2772
190	654	2773
191	657	2766
192	659	2759
193	662	2752
194	665	2746
195	668	2740
196	670	2734
197	674	2732
198	677	2727
199	679	2718
200	682	2713
201	685	2708
202	688	2704
203	691	2698
204	694	2691
205	696	2682
206	698	2675
207	701	2669
208	703	2663
209	706	2657
210	709	2652
211	712	2646
212	714	2641
213	718	2637
214	721	2632
215	723	2625
216	726	2619
217	728	2613
218	731	2607
219	734	2602
220	737	2600
221	743	2604
222	747	2605
223	750	2600
224	753	2594
225	756	2589
226	759	2586
227	762	2583
228	765	2578
229	768	2571
230	770	2564
231	773	2558
232	776	2554
233	779	2550
234	782	2545
235	784	2539
236	788	2536
237	791	2532
238	793	2527
239	797	2525
240	800	2521
241	803	2516
242	805	2509
243	808	2504
244	811	2501
245	814	2496
246	818	2494
247	821	2489
248	824	2487
249	828	2484
250	830	2478
251	833	2474
252	836	2470
253	839	2467
254	843	2463
