iter	Accuracy	Logloss
0	0.8029925187	0.6749579268
1	0.8079800499	0.6605537364
2	0.8067331671	0.6463531101
3	0.8079800499	0.6326963032
4	0.8054862843	0.6196238334
5	0.8054862843	0.6082440345
6	0.8017456359	0.5983848687
7	0.8004987531	0.5884329519
8	0.8017456359	0.5786491049
9	0.8004987531	0.5691774232
10	0.8079800499	0.5608053571
11	0.8067331671	0.5533787668
12	0.8079800499	0.5459352749
13	0.8104738155	0.5384938058
14	0.8154613466	0.5325286061
15	0.8154613466	0.5265753196
16	0.8179551122	0.5220240102
17	0.8167082294	0.517072824
18	0.8167082294	0.5118467281
19	0.812967581	0.50649923
20	0.812967581	0.5014394312
21	0.8092269327	0.4990460132
22	0.8079800499	0.4955755894
23	0.8067331671	0.4918720492
24	0.812967581	0.4885556512
25	0.812967581	0.4849532692
26	0.8104738155	0.4833354316
27	0.8104738155	0.4804972302
28	0.8067331671	0.4776330952
29	0.8067331671	0.4748447758
30	0.8067331671	0.4715772437
31	0.8079800499	0.470567517
32	0.8104738155	0.4690888122
33	0.8092269327	0.4669007049
34	0.8117206983	0.4654957737
35	0.8079800499	0.4643619817
36	0.8117206983	0.4628680951
37	0.8117206983	0.4609129047
38	0.8104738155	0.4597689567
39	0.8167082294	0.4572059369
40	0.8167082294	0.4553017013
41	0.8154613466	0.4541604403
42	0.8154613466	0.4519539504
43	0.8154613466	0.4505220719
44	0.819201995	0.4496574397
45	0.8241895262	0.4473660211
46	0.825436409	0.446401687
47	0.825436409	0.4443743924
48	0.8241895262	0.4429557177
49	0.8266832918	0.4420857858
50	0.825436409	0.4412413293
51	0.8279301746	0.4394428665
52	0.8291770574	0.4379223605
53	0.8266832918	0.4362076127
54	0.8304239401	0.434908567
55	0.8329177057	0.4338615109
56	0.8341645885	0.433329968
57	0.8304239401	0.4320804293
58	0.8291770574	0.4307181234
59	0.8291770574	0.4293985811
60	0.8304239401	0.4290153045
61	0.8316708229	0.42769234
62	0.8304239401	0.4268943584
63	0.8304239401	0.4262325657
64	0.8304239401	0.4261441684
65	0.8291770574	0.4256636427
66	0.8291770574	0.424976739
67	0.8316708229	0.4238763821
68	0.8329177057	0.4229392495
69	0.8354114713	0.4220090523
70	0.8354114713	0.4218056822
71	0.8304239401	0.421166712
72	0.8329177057	0.4203711214
73	0.8329177057	0.4194040547
74	0.8329177057	0.4189471532
75	0.8329177057	0.41799891
76	0.8341645885	0.41757148
77	0.8329177057	0.4169424783
78	0.8329177057	0.4161726076
79	0.8329177057	0.415780561
80	0.8329177057	0.4157084998
81	0.8329177057	0.4148278137
82	0.8341645885	0.4135531758
83	0.8341645885	0.4134476489
84	0.8341645885	0.4131322609
85	0.8341645885	0.4128772143
86	0.8341645885	0.412416439
87	0.8329177057	0.4121703446
88	0.8329177057	0.4118374898
89	0.8341645885	0.4109311592
90	0.8341645885	0.4099166144
91	0.8329177057	0.409371728
92	0.8354114713	0.4086865024
93	0.8341645885	0.4080109867
94	0.8329177057	0.4077906579
95	0.8329177057	0.407492627
96	0.8341645885	0.4072414042
97	0.8354114713	0.406581488
98	0.8354114713	0.4064016009
99	0.8354114713	0.4061114144
100	0.8354114713	0.4053017314
101	0.8379052369	0.4046737074
102	0.8366583541	0.4043476751
103	0.8354114713	0.4041444145
104	0.8366583541	0.4032242309
105	0.8379052369	0.4023686539
106	0.8379052369	0.402088584
107	0.8379052369	0.4018912094
108	0.8379052369	0.4015466431
109	0.8391521197	0.4011687847
110	0.8379052369	0.4009524937
111	0.8379052369	0.4006338668
112	0.8379052369	0.4000678764
113	0.8379052369	0.3998109692
114	0.8379052369	0.3996946425
115	0.8366583541	0.399503479
116	0.8366583541	0.399410402
117	0.8366583541	0.3992386794
118	0.8391521197	0.3987600915
119	0.8391521197	0.3976354277
120	0.8391521197	0.3973517456
121	0.8416458853	0.3963008081
122	0.8416458853	0.3957733854
123	0.8403990025	0.3956188405
124	0.8391521197	0.3953642357
125	0.8416458853	0.3949455587
126	0.8428927681	0.3947840109
127	0.8428927681	0.3947146406
128	0.8428927681	0.3944385523
129	0.8428927681	0.3943289296
130	0.8428927681	0.3942075187
131	0.8416458853	0.3938959137
132	0.8416458853	0.3935370552
133	0.8416458853	0.3931754818
