iter	Accuracy	Logloss
0	0.787318362	0.6782132774
1	0.7886393659	0.6633367259
2	0.785997358	0.6510749146
3	0.785997358	0.6375992932
4	0.7992073976	0.627321985
5	0.7886393659	0.6192990583
6	0.7965653897	0.6092311468
7	0.7978863937	0.598744927
8	0.8005284016	0.5898276347
9	0.7992073976	0.5812710361
10	0.8005284016	0.572480489
11	0.8005284016	0.5642682453
12	0.8005284016	0.557584963
13	0.8005284016	0.5497691464
14	0.8005284016	0.5442839275
15	0.8058124174	0.5372502896
16	0.8058124174	0.5310946616
17	0.8058124174	0.5261786418
18	0.8071334214	0.5225806802
19	0.8018494055	0.5169540201
20	0.7978863937	0.5131934861
21	0.7978863937	0.5084541033
22	0.7992073976	0.50411364
23	0.8018494055	0.5008400408
24	0.8018494055	0.4993656851
25	0.8031704095	0.4952482422
26	0.8044914135	0.4919821475
27	0.8031704095	0.488427334
28	0.8044914135	0.4866376384
29	0.8071334214	0.4830509129
30	0.8071334214	0.4798251433
31	0.8137384412	0.4779050719
32	0.8071334214	0.4747927436
33	0.8097754293	0.4713187883
34	0.8084544254	0.4699996086
35	0.8110964333	0.4685074425
36	0.8110964333	0.4665106775
37	0.8150594452	0.464794725
38	0.8110964333	0.4635989161
39	0.8110964333	0.4624094763
40	0.8097754293	0.4607093857
41	0.8097754293	0.4590430418
42	0.8110964333	0.4579501883
43	0.8110964333	0.4562022812
44	0.8124174373	0.4541923798
45	0.8097754293	0.4527162562
46	0.8097754293	0.4513355492
47	0.8097754293	0.450409686
48	0.8110964333	0.4495948442
49	0.8110964333	0.4487675317
50	0.8150594452	0.4477053652
51	0.8137384412	0.445813511
52	0.8150594452	0.4439703901
53	0.8177014531	0.4432975687
54	0.8177014531	0.4424951858
55	0.8163804491	0.4410677549
56	0.8177014531	0.4403858539
57	0.8177014531	0.4391654776
58	0.8190224571	0.4384731297
59	0.8190224571	0.4367521892
60	0.820343461	0.4347187017
61	0.821664465	0.433966443
62	0.820343461	0.4327210585
63	0.820343461	0.4317578468
64	0.822985469	0.4311672978
65	0.8243064729	0.4304676895
66	0.8243064729	0.4295809879
67	0.8256274769	0.4291425713
68	0.8295904888	0.4285359921
69	0.8322324967	0.4278538487
70	0.8335535007	0.4270172098
71	0.8335535007	0.4264284755
72	0.8335535007	0.425626318
73	0.8322324967	0.4247614381
74	0.8322324967	0.4232232715
75	0.8322324967	0.422710629
76	0.8322324967	0.4224076954
77	0.8322324967	0.4212873201
78	0.8295904888	0.4199011564
79	0.8309114927	0.4194287269
80	0.8322324967	0.4194035308
81	0.8335535007	0.4186532921
82	0.8348745046	0.417823903
83	0.8348745046	0.4173094998
84	0.8348745046	0.4169156583
85	0.8348745046	0.4163147923
86	0.8361955086	0.4159790357
87	0.8335535007	0.4149659227
88	0.8335535007	0.4139024279
89	0.8335535007	0.4136219155
90	0.8322324967	0.4127570171
91	0.8348745046	0.4122812048
92	0.8361955086	0.4115943046
93	0.8361955086	0.4108022608
94	0.8348745046	0.4101103018
95	0.8348745046	0.409796245
96	0.8361955086	0.4091857711
97	0.8361955086	0.4084802172
98	0.8361955086	0.4082522295
99	0.8361955086	0.4076397342
100	0.8361955086	0.4068679038
101	0.8361955086	0.4060545235
102	0.8361955086	0.4051447072
103	0.8348745046	0.4046686221
104	0.8361955086	0.4044998532
105	0.8361955086	0.4040791944
106	0.8375165125	0.4037523878
107	0.8375165125	0.4033383415
108	0.8375165125	0.4031117424
109	0.8361955086	0.4024823056
110	0.8361955086	0.4024696706
111	0.8375165125	0.4020635328
112	0.8361955086	0.4017609298
113	0.8375165125	0.4012051397
114	0.8375165125	0.4011033464
115	0.8401585205	0.400717431
116	0.8401585205	0.4003802235
117	0.8414795244	0.3999594341
118	0.8401585205	0.3994904405
119	0.8428005284	0.3991459577
120	0.8441215324	0.3981292868
121	0.8454425363	0.3979995667
122	0.8454425363	0.3979235985
123	0.8454425363	0.3972688263
124	0.8454425363	0.3970282285
125	0.8454425363	0.3964893357
126	0.8454425363	0.395679914
127	0.8454425363	0.3956797613
128	0.8454425363	0.3952560059
129	0.8428005284	0.3948868297
130	0.8428005284	0.3947492533
131	0.8441215324	0.3943119411
132	0.8441215324	0.3937804084
133	0.8441215324	0.3935161319
134	0.8441215324	0.393498706
135	0.8441215324	0.393333557
136	0.8441215324	0.3931271756
137	0.8441215324	0.393014731
138	0.8428005284	0.392865706
139	0.8428005284	0.3927232112
140	0.8401585205	0.3926630049
141	0.8401585205	0.3926627349
142	0.8414795244	0.3922363347
143	0.8414795244	0.3921123691
144	0.8414795244	0.3917889159
145	0.8414795244	0.3912976346
146	0.8441215324	0.39099033
147	0.8441215324	0.3904249131
148	0.8467635403	0.3901540279
149	0.8428005284	0.3898759728
150	0.8428005284	0.3898708572
151	0.8441215324	0.3894024781
152	0.8454425363	0.3892681738
153	0.8441215324	0.3891552798
154	0.8441215324	0.3887996618
155	0.8441215324	0.3883117828
156	0.8441215324	0.3880876515
157	0.8441215324	0.3879236707
158	0.8441215324	0.3876007415
159	0.8441215324	0.3873769966
160	0.8441215324	0.38723858
161	0.8441215324	0.3870017449
162	0.8454425363	0.3864321343
163	0.8454425363	0.386280459
164	0.8454425363	0.3859518322
165	0.8454425363	0.3858216954
166	0.8454425363	0.3857249993
167	0.8454425363	0.3851694721
168	0.8454425363	0.3851015396
169	0.8467635403	0.3847982667
170	0.8467635403	0.384585914
171	0.8467635403	0.384570621
172	0.8467635403	0.3844300949
173	0.8480845443	0.3841394891
174	0.8480845443	0.3840651665
175	0.8480845443	0.3838628575
176	0.8480845443	0.3836618265
177	0.8467635403	0.3833613522
178	0.8467635403	0.3832787445
179	0.8467635403	0.3832236772
180	0.8494055482	0.3826639333
181	0.8494055482	0.3822972973
182	0.8507265522	0.3816302625
183	0.8507265522	0.381464408
184	0.8507265522	0.3813416304
185	0.8520475561	0.3811325803
186	0.8520475561	0.3808330462
187	0.8520475561	0.3805593038
188	0.8507265522	0.3803191521
189	0.8507265522	0.3802667914
190	0.8507265522	0.3800940366
191	0.8520475561	0.3799315981
192	0.8520475561	0.3796952783
