iter	Passed	Remaining
0	17	17548
1	24	12143
2	47	15940
3	57	14362
4	69	13924
5	82	13674
6	95	13608
7	102	12722
8	107	11815
9	113	11218
10	114	10315
11	118	9779
12	125	9502
13	131	9232
14	137	9017
15	141	8684
16	145	8387
17	149	8172
18	153	7916
19	154	7571
20	156	7305
21	160	7137
22	162	6890
23	165	6732
24	170	6637
25	174	6546
26	178	6448
27	183	6356
28	187	6274
29	192	6210
30	195	6122
31	200	6050
32	201	5915
33	205	5838
34	206	5702
35	211	5672
36	215	5607
37	219	5555
38	222	5488
39	226	5433
40	230	5387
41	234	5348
42	237	5286
43	241	5257
44	245	5210
45	247	5138
46	252	5122
47	256	5079
48	257	4999
49	262	4986
50	268	4991
51	274	5000
52	275	4925
53	281	4936
54	288	4965
55	294	4961
56	298	4941
57	302	4915
58	305	4879
59	308	4835
60	312	4809
61	317	4797
62	321	4778
63	325	4762
64	329	4744
65	334	4729
66	339	4721
67	343	4706
68	347	4690
69	352	4679
70	356	4670
71	360	4649
72	362	4601
73	366	4589
74	371	4577
75	374	4555
76	379	4546
77	383	4530
78	386	4511
79	393	4524
80	398	4517
81	401	4492
82	406	4489
83	410	4477
84	414	4463
85	419	4454
86	423	4441
87	427	4431
88	432	4430
89	437	4425
90	442	4422
91	448	4427
92	453	4421
93	457	4409
94	462	4408
95	467	4398
96	469	4368
97	473	4357
98	477	4345
99	482	4341
100	486	4331
101	491	4328
102	495	4314
103	499	4302
104	503	4289
105	507	4280
106	509	4250
107	510	4217
108	514	4204
109	518	4193
110	522	4185
111	527	4179
112	531	4168
113	534	4157
114	538	4146
115	543	4138
116	547	4129
117	548	4101
118	553	4099
119	557	4091
120	565	4107
121	570	4104
122	572	4081
123	577	4080
124	583	4081
125	585	4058
126	590	4061
127	594	4053
128	597	4032
129	602	4028
130	606	4025
131	609	4009
132	614	4004
133	616	3983
134	620	3977
135	626	3980
136	630	3974
137	633	3957
138	638	3952
139	642	3948
140	649	3957
141	658	3977
142	668	4004
143	708	4214
144	719	4240
145	724	4236
146	729	4232
147	733	4222
148	739	4220
149	743	4213
150	751	4222
151	764	4267
152	770	4267
153	775	4261
154	778	4246
155	782	4234
156	786	4225
157	787	4198
158	791	4186
159	793	4167
160	796	4148
161	800	4139
162	803	4128
163	805	4104
164	809	4095
165	811	4074
166	814	4064
167	819	4056
168	822	4045
